Removed 14_15 free 	compat-zope
Removed 14_15 free 	compat-python24-setuptools
Removed 14_15 free 	compat-python24-lxml
Removed 14_15 free 	compat-python24-libxml2
Removed 14_15 free 	compat-python24-imaging
Removed 14_15 free 	compat-python24-feedparser
Removed 14_15 free 	compat-python24-elementtree
Removed 14_15 free 	compat-python24
Removed 14_15 free 	compat-plone
Removed 13_14 free 	vboxgtk
Removed 13_14 free 	snowballz
Removed 13_14 free 	pyglet
Removed 13_14 nonfree 	bsnes
Removed 13_14 free 	avbin
Removed 12_13 free 	xine
Removed 12_13 nonfree 	slmodem-kmod
Removed 12_13 free 	iscsitarget-kmod
Removed 12_13 free 	iscsitarget
Removed 12_13 free 	elisa-plugins-ugly
Removed 11_12 free 	xtables-addons
Removed 11_12 nonfree 	xpsb-glx
Removed 11_12 nonfree 	xorg-x11-drv-psb
Removed 11_12 free 	ultrastardx
Removed 11_12 free 	sysprof-kmod
Removed 11_12 free 	sysprof
Removed 11_12 nonfree 	psb-kmod
Removed 11_12 nonfree 	psb-firmware
Removed 11_12 nonfree 	pgadmin3
Removed 11_12 nonfree 	libdrm-poulsbo
Removed 11_12 free 	gsview
Removed 11_12 free 	faac
Removed 11_12 free 	dosemu
Removed 11_12 nonfree 	comical
Removed 11_12 free 	blcr-kmod
Removed 11_12 free 	blcr
Removed 10_11 nonfree 	xorg-x11-drv-nvidia-beta
Removed 10_11 nonfree 	xorg-x11-drv-fglrx
Removed 10_11 free 	xmms-wma
Removed 10_11 free 	vdr-muggle
Removed 10_11 free 	qc-usb-kmod
Removed 10_11 free 	qc-usb
Removed 10_11 free 	plus4emu
Removed 10_11 nonfree 	nvidia-beta-kmod
Removed 10_11 nonfree 	madwifi-kmod
Removed 10_11 nonfree 	madwifi
Removed 10_11 nonfree 	fglrx-kmod
Removed 09_10 nonfree 	xorg-x11-drv-nvidia-newest
Removed 09_10 nonfree 	pgadmin3
Removed 09_10 nonfree 	nvidia-newest-kmod
Removed 09_10 free 	ffmpeg-compat
Removed 09_10 free 	DVDAuthorWizard
Removed 09_10 nonfree 	bsnes
Removed 09_10 free 	amarok-extras-freeworld
Removed 08_09 nonfree 	xorg-x11-drv-nvidia-legacy
Removed 08_09 free 	vdr-remote
Removed 08_09 nonfree 	nvidia-legacy-kmod
Removed 08_09 free 	kdemultimedia-extras-freeworld
Removed 08_09 free 	gspca-kmod
Removed 08_09 free 	gspca
Removed 08_09 free 	akode-extras
Added 41_42 free 	 python-rpmfusion
Added 41_42 nonfree 	 libva-intel-hybrid-driver
Added 40_41 nonfree 	 palcom-wwan-fcc-unlock
Added 38_39 free 	 xine-plugin
Added 38_39 nonfree 	 nvidia-open-kmod
Added 38_39 nonfree 	 nouveau-firmware
Added 38_39 free 	 libdca
Added 38_39 nonfree 	 intel-ipu6-kmod
Added 38_39 nonfree 	 broadcom-bt-firmware
Added 38_39 nonfree 	 b43-firmware
Added 37_38 free 	 vlc-plugins-freeworld
Added 37_38 nonfree 	 nautilus-dropbox
Added 37_38 nonfree 	 man-pages-posix
Added 37_38 free 	 kodi-inputstream-rtmp
Added 37_38 nonfree 	 ivsc-firmware
Added 37_38 nonfree 	 ipu6-camera-hal
Added 37_38 nonfree 	 ipu6-camera-bins
Added 37_38 nonfree 	 gstreamer1-plugins-icamerasrc
Added 37_38 nonfree 	 etlegacy
Added 36_37 free 	 v4l2-relayd
Added 36_37 free 	 mesa-freeworld
Added 36_37 free 	 freeguide
Added 35_36 free 	 vcmi
Added 35_36 free 	 obs-studio-freeworld
Added 35_36 free 	 libheif-freeworld
Added 35_36 free 	 jellyfin
Added 35_36 nonfree 	 ivsc-firmware
Added 35_36 nonfree 	 ipu6-camera-hal
Added 35_36 nonfree 	 ipu6-camera-bins
Added 35_36 nonfree 	 gstreamer1-plugins-icamerasrc
Added 35_36 free 	 compat-ffmpeg4
Added 34_35 nonfree 	 nvidia-vaapi-driver
Added 34_35 nonfree 	 nvidia-open-kmod
Added 34_35 nonfree 	 man-pages-posix
Added 33_34 free 	 python-ffmpeg-progress-yield
Added 32_33 nonfree 	 zerotier-one
Added 32_33 nonfree 	 xorg-x11-drv-nvidia-470xx
Added 32_33 free 	 tivodecode-ng
Added 32_33 free 	 plasma-wallpapers-dynamic
Added 32_33 free 	 pipewire-codec-aptx
Added 32_33 nonfree 	 obs-ndi
Added 32_33 nonfree 	 nvidia-settings-470xx
Added 32_33 nonfree 	 nvidia-470xx-kmod
Added 32_33 nonfree 	 ndi-sdk
Added 32_33 free 	 libndi
Added 32_33 free 	 libfreeaptx
Added 31_32 free 	 welle-io
Added 31_32 free 	 v4l2loopback-kmod
Added 31_32 free 	 v4l2loopback
Added 31_32 free 	 tg_owt
Added 31_32 free 	 slowmovideo
Added 31_32 nonfree 	 p54pci-firmware
Added 31_32 free 	 loudgain
Added 31_32 free 	 kodi-pvr-hdhomerun
Added 31_32 nonfree 	 iozone
Added 31_32 free 	 gstreamer-vaapi
Added 31_32 free 	 gstreamer-plugins-base
Added 31_32 free 	 gstreamer
Added 30_31 free 	 wf-recorder
Added 30_31 nonfree 	 SDLPoP
Added 30_31 free 	 retroarch-freeworld
Added 30_31 free 	 python-ffmpeg-normalize
Added 30_31 nonfree 	 pcsx2
Added 30_31 free 	 chromium-libs-media-freeworld
Added 29_30 free 	 videomorph
Added 29_30 free 	 smtube
Added 29_30 nonfree 	 ripcord
Added 29_30 free 	 rfpkgdb-cli
Added 29_30 free 	 qt-heif-image-plugin
Added 29_30 nonfree 	 python-pyspotify
Added 29_30 free 	 mpv-mpris
Added 29_30 nonfree 	 mopidy-spotify
Added 29_30 nonfree 	 libspotify
Added 29_30 nonfree 	 dptfxtract
Added 29_30 free 	 deepin-music
Added 29_30 free 	 curlew
Added 29_30 free 	 chromium-browser-privacy
Added 28_29 free 	 vlc-bittorrent
Added 28_29 free 	 svt-hevc
Added 28_29 free 	 qmmp-plugin-pack-freeworld
Added 28_29 free 	 pulseaudio-module-bluetooth-freeworld
Added 28_29 free 	 plex-media-player
Added 28_29 free 	 olive
Added 28_29 free 	 mpc-qt
Added 28_29 nonfree 	 mendeleydesktop
Added 28_29 nonfree 	 intel-media-driver
